cardholder_id,first_name,last_name,dob,occupation_id,gender
1,Jeff,Elliott,3/19/1968,1,M
2,Joanne,Williams,1/17/1990,2,F
3,Ashley,Lopez,10/21/1970,3,F
4,Brian,Williams,7/25/1987,4,M
5,Nathan,Massey,7/6/1955,5,M
6,Danielle,Evans,10/13/1991,6,F
7,Kayla,Sutton,1/15/1951,7,F
8,Paula,Estrada,3/5/1972,8,F
9,David,Everett,5/27/1973,9,M
10,Kayla,Obrien,5/30/1956,10,F
11,Samuel,Jenkins,4/10/1996,11,M
12,Louis,Fisher,2/26/1976,12,M
13,Melissa,Meza,1/4/1977,13,F
14,William,Thompson,3/17/1937,14,M
15,Ashley,Whitney,11/2/1971,15,F
16,Christine,Leblanc,4/9/1988,16,F
17,Charles,Moreno,2/13/1987,17,M
18,Lauren,Torres,7/24/1992,18,F
19,Ashley,Cruz,12/16/1977,19,F
20,Gina,Grimes,9/22/1997,20,F
21,Shannon,Williams,12/27/1997,21,F
22,Stacy,Villegas,5/9/1992,22,F
23,Christopher,Johnson,11/26/1971,23,M
24,Rebecca,Conley,11/23/1997,24,F
25,Kristen,Hanson,6/18/1985,25,F
26,Terri,Bailey,10/4/1991,26,F
27,William,Johnson,8/30/1957,27,M
28,Cody,Hooper,10/6/1968,28,M
29,Kathleen,Martin,11/30/1948,29,F
30,Mary,Schmidt,12/29/1957,30,F
31,Frank,Key,2/28/1930,31,M
32,Mary,Wall,7/19/1974,32,F
33,Daniel,Cain,8/8/1964,33,M
34,Mackenzie,Salazar,11/20/1974,34,F
35,Krystal,Gamble,2/15/1964,35,F
36,James,Reese,6/11/1958,36,M
37,Charles,Carrillo,4/19/1995,37,M
38,Jessica,Dominguez,1/8/1970,38,F
39,Samuel,Johnston,7/12/1980,39,M
40,Zachary,Allen,7/24/1969,16,M
41,Jenna,Brooks,2/22/1977,40,F
42,Andrew,Mcgee,12/28/1975,41,M
43,David,Wolfe,12/28/1974,42,M
44,Jessica,Garcia,4/22/1961,43,F
45,Dale,Smith,12/15/1943,44,M
46,Lisa,Lin,11/28/1972,45,F
47,Jeffrey,White,12/11/1979,46,M
48,Sandra,Schwartz,11/6/1986,47,F
49,Amanda,Spencer,3/13/1994,48,F
50,Jackie,Davis,10/27/1974,49,F
51,Joshua,Cohen,11/2/1974,50,M
52,Audrey,Gonzalez,5/6/1929,51,F
53,Kathryn,Smith,10/26/1988,52,F
54,Bridget,Bowen,3/19/1934,53,F
55,Jeremy,Roberson,9/29/1993,54,M
56,Mary,Myers,12/30/1964,55,F
57,Melissa,Brown,3/14/1986,21,F
58,Angie,Jones,10/22/1979,56,F
59,Judy,Hogan,9/1/1999,57,F
60,Jessica,Perez,10/28/1987,58,F
61,Adam,Santos,7/30/1982,59,M
62,John,Stevens,7/29/1998,60,M
63,Tara,Campbell,8/1/1984,61,F
64,Monica,West,3/28/1972,62,F
65,Allison,Ayala,8/29/1985,13,F
66,Juan,Henry,1/4/1964,63,M
67,Monica,Tucker,6/6/1999,64,F
68,Kenneth,Robinson,12/21/1980,65,M
69,Kimberly,Gonzalez,12/20/1975,51,F
70,Robert,Evans,6/20/1985,66,M
71,Bradley,Anderson,1/28/1968,67,M
72,Matthew,Lambert,1/22/1978,68,M
73,Charles,Robles,2/28/1989,69,M
74,Tanner,Carroll,4/8/1989,70,M
75,Beth,Lambert,9/27/1970,71,F
76,Lindsay,Wilson,7/17/1989,72,F
77,Sharon,Johnson,9/1/1984,73,F
78,Joshua,Mendoza,9/16/1967,74,M
79,Michelle,Rodriguez,8/16/2000,75,F
